T(align.chunk),T(align.chunk.lemm),T(term),S(term),source,class
_V_dati _V_biti _A_univerzitetski _N_biblioteka,_N_biblioteka _A_univerzitetski,_A_univerzitetski _N_biblioteka,_NOUN_university_NOUN_library,0,1
_N_izdanje _N_institut _PREF_za _N_arhitektura _PREF_i,_N_izdanje _N_institut _PREF_za _N_arhitektura,_N_izdanje _N_institut _PREF_za _N_arhitektura,_NOUN_institute_ADP_of_NOUN_architecture,1,0
_A_konceptualan _N_model,_PREF_i _A_konceptualan _N_model,_A_konceptualan _N_model,_ADJ_conceptual_NOUN_model,1,1
_N_analiza _N_citiranost,_PREF_u _N_analiza _N_citiranost,_N_analiza _N_citiranost,_NOUN_citation_NOUN_analysis,1,1
_PREF_u _N_tekst _PREF_u _A_elektronski _N_oblik,_PREF_u _N_tekst _PREF_u _A_elektronski _N_oblik _PREF_na,_N_tekst _PREF_u _A_elektronski _N_oblik,_ADJ_electronic_NOUN_text,0,1
_N_internet _N_pretraživač a,_N_internet _N_pretraživač _PREF_za,_N_internet _N_pretraživač,_NOUN_search_NOUN_engine,0,0
_A_intelektualan _N_vlasništvo,_A_intelektualan _N_vlasništvo,_A_intelektualan _N_vlasništvo,_ADJ_intellectual_NOUN_property,0,1
_N_obrazovanje _N_biblioteka,_N_biblioteka _PREF_i _N_obrazovanje _PREF_od,_N_obrazovanje _N_biblioteka,_NOUN_education_NOUN_library,1,0
_N_reč _PREF_iz _N_tekst _PREF_i,_N_reč _PREF_iz _N_tekst,_N_reč _PREF_u _N_tekst,_NOUN_word_ADP_in_NOUN_text,1,1
_A_terminološki _N_rečnik _PREF_i,_A_terminološki _N_rečnik,_A_terminološki _N_rečnik,_ADJ_terminological_NOUN_resource,1,0
_N_proces _V_obraditi _A_prirodan _N_jezik,_PREF_u _N_proces _N_obrada _A_prirodan _N_jezik _PRO_neki,_N_obrada _A_prirodan _N_jezik _PREF_u _N_proces,_ADJ_natural_NOUN_language_NOUN_processing,0,0
_A_nacionalan _N_strategija _PREF_za,_A_nacionalan _N_strategija,_A_nacionalan _N_strategija,_ADJ_national_NOUN_strategy,1,1
_A_južnosrpski _N_dijalekt,_A_južnosrpski _N_dijalekt,_A_južnosrpski _N_dijalekt,_NOUN_dialect_ADP_of_NOUN_southern_NOUN_serbia,1,1
ne _A_originalan _N_podatak,_A_originalan _N_podatak,_A_originalan _N_podatak,_ADJ_original_NOUN_data,1,1
_A_jedinstven _N_vid _N_obuka,_A_jedinstven _N_vid _N_obuka,_A_jedinstven _N_vid _N_obuka,_ADV_further_NOUN_education,0,0
_N_prikaz _A_ljudski _N_figura,_N_prikaz _A_ljudski _N_figura,_N_prikaz _A_ljudski _N_figura,_NOUN_frontispiece,0,0
prirodnojezički _N_procesor a _PRO_taj _V_jesam,prirodnojezički _N_procesor a _PRO_taj,prirodnojezički _N_procesor,_NOUN_nlp_NOUN_processor,1,1
_A_levi _A_stran _N_slika,_A_levi _A_stran _V_slikati _PREF_za,_A_levi _A_stran _V_slikati,_VERB_left_NOUN_side_ADP_of_NOUN_figure,1,0
_N_implementacija _N_projekt,_N_implementacija _N_projekt,_N_implementacija _N_projekt,_NOUN_implementation,0,0
_A_drugi _N_mogućnost _PREF_su,_A_drugi _N_mogućnost _PREF_su,_A_drugi _N_mogućnost,_NOUN_facility,0,0
_PRO_ona _A_osnovni _N_ideja,_PRO_ona _A_osnovni _N_ideja,_A_osnovni _N_ideja,_ADJ_basic_NOUN_idea,1,1
_PREF_i _A_multimedijalan _N_sadržaj,_N_sadržaj _A_multimedijalan,_A_multimedijalan _N_sadržaj,_NOUN_multimedia_VERB_content,1,1
_A_predviđen _N_depozit,_A_predviđen _N_depozit,_A_predviđen _N_depozit,_ADJ_legal_NOUN_deposit,0,0
sa _A_otvoren _N_pristup _PREF_iz _N_oblast,_A_otvoren _N_pristup _PREF_iz _N_oblast,_A_otvoren _N_pristup _PREF_iz _N_oblast,_ADJ_open_NOUN_access,1,0
latex _N_komanda,latex _N_komanda,latex _N_komanda,_NOUN_latex_NOUN_language,1,0
_N_vrsta _N_reč _PREF_u _A_srpski _N_jezik,_V_vrstati _N_reč _PREF_u _A_srpski _N_jezik,_V_vrstati _N_reč _PREF_u _A_srpski _N_jezik,_ADJ_serbian_NOUN_part_ADP_of_NOUN_speech,1,1
_PREF_za _A_sigurnosni _N_kontrola _PREF_i,_A_sigurnosni _N_kontrola _PREF_i,_A_sigurnosni _N_kontrola,_NOUN_security,0,0
_N_kolekcija _N_termin,_N_kolekcija _N_termin,_N_kolekcija _N_termin,_NOUN_collection_ADP_of_NOUN_term,1,1
_N_nivo _N_preciznost _PREF_pri _N_klasifikovanje _PREF_i,_N_nivo _N_preciznost _PREF_pri _N_klasifikovanje,_N_nivo _N_preciznost _PREF_pri _N_klasifikovanje,_NOUN_classification_NOUN_accuracy,1,0
_N_biblioteka _A_naučni,_N_biblioteka _A_naučni,_A_naučni _N_biblioteka,_ADJ_scientific_NOUN_library,0,1
ako _PRO_sebe _N_prikupljanje _N_podatak,ako _PRO_sebe _N_prikupljanje _N_podatak _PREF_u,_N_prikupljanje _N_podatak,_NOUN_data_NOUN_collection,1,1
_PRO_moj _A_ličan _N_iskustvo,_PRO_moj _A_ličan _N_iskustvo,_A_ličan _N_iskustvo,_ADJ_personal_NOUN_experience,1,1
_N_prezentacija _N_tekst,_N_prezentacija _N_tekst,_N_prezentacija _N_tekst,_NOUN_document_NOUN_presentation,1,1
_N_komunikacija _N_sistem,_N_komunikacija _N_sistem,_N_komunikacija _N_sistem,_NOUN_communication,0,0
_A_geografski _N_naziv,_A_geografski _N_naziv,_A_geografski _N_naziv,_ADJ_geographic_NOUN_name,0,1
_N_generacija _N_biblioteka,_N_generacija _N_biblioteka _PRO_ona,_N_generacija _N_biblioteka,_NOUN_generation_NOUN_library,1,0
_A_slovenački stemera _PREF_u,_A_slovenački stemera,_A_slovenački stemera,_NOUN_slovene_NOUN_stemmer,1,1
_A_inostran _N_autor,_A_inostran _N_autor,_A_inostran _N_autor,_ADJ_international_NOUN_author,1,1
ifla _A_ini _N_konferencija _N_godina _V_jesam,ifla _A_ini _N_konferencija _N_godina,ifla _A_ini _N_konferencija _N_godina,_NOUN_ifla_PRT_'s_NOUN_conference,1,0
_N_rečnik _A_složen _N_reč,_N_rečnik _A_složen _N_reč,_N_rečnik _A_složen _N_reč,_ADJ_dictionary_ADP_of_NOUN_compound,1,1
_N_klasa _N_ekvivalencija,_V_klasati _N_ekvivalencija _PREF_su,_V_klasati _N_ekvivalencija,_NOUN_equivalence_NOUN_class,1,1
_A_onlajn _A_centralni _N_katalog,_A_onlajn _A_centralni _N_katalog _PREF_i,_A_onlajn _A_centralni _N_katalog,_NOUN_online_NOUN_union_NOUN_catalog,1,1
ili _A_tehnički _N_nauka,ili _A_tehnički _N_nauk,_A_tehnički _N_nauk,_ADJ_technical_NOUN_science,1,1
_PREF_i _N_agencija _PREF_za _N_finansiranje _N_projekt,_N_agencija _PREF_za _N_finansiranje _N_projekt,_N_agencija _PREF_za _N_finansiranje _N_projekt,_NOUN_funding_NOUN_agency,1,0
_N_izvor ka _A_bibliotečki _N_izvor,_N_izvor ka _A_bibliotečki,_N_izvor ka _A_bibliotečki _N_izvor,_NOUN_library_NOUN_resource,0,0
_PREF_na _A_statistički _N_metod _PRO_koji,_A_statistički _N_metod _PRO_koji,_A_statistički _N_metod,_ADJ_statistical_NOUN_method,0,1
_PRO_ona _A_rečenični _N_konstrukcija,_PRO_ona _A_rečenični _N_konstrukcija,_A_rečenični _N_konstrukcija,_NOUN_phrase_NOUN_model,1,0
_A_drugi _N_članak _PRO_koji _PREF_u,_A_drugi _N_članak _PRO_koji,_N_članak _PREF_do _A_drugi _N_članak,_NOUN_article,0,0
_N_rukovodilac _N_projekt,_N_rukovodilac _N_projekt _PRO_ona,_N_rukovodilac _N_projekt,_NOUN_project_NOUN_manager,0,1
a _N_članak _PREF_u _N_časopis _PREF_su,a _N_članak _PREF_u _N_časopis,_N_članak _PREF_iz _N_časopis,_ADJ_journal_NOUN_article,1,1
_N_dužina _N_tekst,_N_dužina _N_tekst,_N_dužina _N_tekst,_NOUN_length_ADP_of_NOUN_text,1,1
_N_greška _N_etiketiranje,_N_greška _N_etiketiranje _PREF_za,_N_greška _N_etiketiranje,_VERB_tagging_NOUN_error,1,1
_N_uzorak _N_tekst,_N_uzorak _N_tekst,_N_uzorak _N_tekst,_NOUN_sample_VERB_text,1,1
oclc _N_proizvod,oclc _N_proizvod _PREF_i,oclc _N_proizvod,_NOUN_oclc_NOUN_product,1,1
_A_masovan _N_medij _PREF_i,_A_masovan _N_medij,_A_masovan _N_medij,_NOUN_mass_NOUN_medium,0,1
_PREF_i _PREF_na _N_podatak _A_sličan _N_organizacija,_PREF_i _PREF_na _N_podatak _A_sličan _N_organizacija,_N_podatak _A_sličan _N_organizacija,_NOUN_data_ADP_of_ADJ_similar_NOUN_organization,1,0
_PREF_iz _N_bibliotekarstvo _N_informatika _PREF_i arhivistike,_N_bibliotekarstvo _N_informatika _PREF_i arhivistike,_N_bibliotekarstvo _N_informatika arhivistike,_NOUN_library_NOUN_information,1,0
_PRO_ona _PREF_u _A_određen _A_elektronski _N_korpus,_PRO_ona _PREF_u _A_određen _A_elektronski _N_korpus,_A_određen _A_elektronski _N_korpus,_ADJ_electronic_NOUN_corpus,1,0
_A_računski _N_centar,_A_računski _N_centar,_A_računski _N_centar,_NOUN_computer_NOUN_center,1,1
_PREF_i _A_viši _V_vrstati,_PREF_i _A_viši _V_vrstati,_A_viši _V_vrstati,_NOUN_type,0,0
_N_kontrola _N_domen,_N_kontrola _N_domen,_N_kontrola _N_domen,_NOUN_domain_NOUN_control,1,1
_N_centar _PREF_za _N_kultura,_N_centar _PREF_za _N_kultura,_N_centar _PREF_za _N_kultura,_NOUN_center_ADP_for_NOUN_culture,1,1
ili _N_biblioteka _N_institut,ili _N_biblioteka _N_institut _PREF_za,_N_biblioteka _N_institut,_NOUN_institute_NOUN_library,1,1
_A_informatički _N_stručnjak,_PREF_i _A_informatički _N_stručnjak,_A_informatički _N_stručnjak,_ADJ_professional,0,0
_N_društvo _N_biblioteka,_N_biblioteka _PREF_i _N_društvo,_N_biblioteka _PREF_u _N_društvo,_NOUN_library_NOUN_society,0,0
_N_korpus _PREF_za _N_obučavanje a,_N_korpus _PREF_za _N_obučavanje a,_N_korpus _N_obučavanje,_ADV_further_VERB_training,0,0
_N_registar _N_biblioteka,_N_registar _N_biblioteka,_N_registar _N_biblioteka,_NOUN_register_ADP_of_NOUN_library,1,1
_A_dalek _A_jezički _N_obrada,_A_dalek _A_jezički _N_obrada,_A_dalek _A_jezički _N_obrada,_ADJ_linguistic_NOUN_processing,1,0
_N_projekt sa _N_učenik,_N_projekt sa _N_učenik _PREF_u,_N_projekt sa _N_učenik,_NOUN_student_PRT_'s_NOUN_project,1,0
_N_veb _V_pregledatič_V_imati _V_pasti,_N_veb _N_pregledč_V_imati,_N_veb _N_pregledč_V_imati,_NOUN_web_NOUN_browser,1,1
_N_ministar _N_obrazovanje _PREF_i,_N_ministar _N_obrazovanje _PRO_koji _PRO_on,_N_ministar _PREF_za _N_obrazovanje,_NOUN_ministry_ADP_of_NOUN_education,1,0
_N_licenca _A_slobodan _N_softver,_N_licenca _A_slobodan _N_softver,_A_slobodan _N_softver _PREF_pod _N_licenca,_ADJ_free_NOUN_software,0,0
_A_pun _N_ime _N_osoba,_PRO_sam _A_pun _N_ime _N_osoba već,_PRO_sam _A_pun _N_ime _N_osoba,_ADJ_full_NOUN_name_ADP_of_NOUN_person,1,0
_PREF_i _A_širok _N_javnost,_A_širok _N_javnost,_A_širok _N_javnost,_ADJ_general_ADJ_public,1,1
_A_digitalan _N_prezentacija,_A_digitalan _N_prezentacija,_A_digitalan _N_prezentacija,_ADJ_digital_NOUN_representation,1,1
_A_medicinski _N_biblioteka,_A_medicinski _N_biblioteka _PRO_ona,_A_medicinski _N_biblioteka,_ADJ_medical_NOUN_library,1,1
ili _A_viši _N_klijent,ili _A_viši _N_klijent,_A_viši _N_klijent,_NOUN_client,0,0
_A_korisnički _PREF_sučeljem,_A_korisnički _PREF_sučeljem,_A_korisnički _PREF_sučeljem,_NOUN_user_NOUN_interface,0,1
_N_područje _N_znanje,_N_područje _N_znanje _PREF_i _PREF_na,_N_područje _N_znanje,_NOUN_field_ADP_of_NOUN_knowledge,1,1
_A_kameni _N_temeljac,_A_kameni _N_temeljac,_A_kameni _N_temeljac,_NOUN_corner_NOUN_stone_NOUN_ceremony,1,0
_N_informacija _PREF_o _N_sistem,_N_informacija _PREF_o _N_sistem _PREF_i,_N_informacija _PREF_o _N_sistem,_NOUN_information_NOUN_system,0,0
_A_društven _N_mreža _PREF_u,_A_društven _N_mreža _PREF_su,_A_društven _N_mreža,_ADJ_social_NOUN_network,1,1
_N_detekcija _N_komparacija _PREF_u,_N_detekcija _N_komparacija,_N_detekcija _N_komparacija,_NOUN_occurrence,0,0
_N_biblioteka _N_preduzeće _PREF_za,_N_biblioteka _V_preduzeti,_N_biblioteka _PREF_u _V_preduzeti,_NOUN_company_NOUN_library,0,1
_A_bibliotečki _N_sistem kao,_A_bibliotečki _N_sistem,_A_bibliotečki _N_sistem,_NOUN_library_NOUN_system,1,1
_PREF_od _A_ukupan _V_brojati _N_citat,_PREF_od _A_ukupan _V_brojati _N_citat,_A_ukupan _V_brojati _N_citat,_ADJ_total_NOUN_number_ADP_of_NOUN_citation,1,1
_N_biblioteka _N_arhiv,_N_biblioteka _N_arhiv ili,_N_biblioteka _N_arhiv,_ADJ_archive_NOUN_library,0,0
_A_bibliografski _N_podatak _PREF_iz,_A_bibliografski _N_podatak _PREF_o,_A_bibliografski _N_podatak _N_podatak,_ADJ_bibliographic_NOUN_data,1,0
_A_bibliotečki _N_projekt,_A_bibliotečki _N_projekt,_A_bibliotečki _N_projekt,_NOUN_library_NOUN_project,1,1
_N_leksikon _N_veličina _N_klasa _N_etiketa,_N_leksikon _N_veličina _V_klasati _N_etiketa,_N_leksikon _N_veličina _V_klasati _N_etiketa,_NOUN_tagset_NOUN_size,1,0
_PREF_i _A_tehnološki _N_razvoj nakon _A_razmotren _N_prigovor,_PREF_i _A_tehnološki _N_razvoj nakon _A_razmotren _N_prigovor,_A_tehnološki _N_razvoj nakon _A_razmotren _N_prigovor,_ADJ_technological_NOUN_development,1,0
_N_celina _N_uređaj,_N_celina _N_uređaj,_N_celina _N_uređaj,_NOUN_range,0,0
_A_virtuelan _N_okruženje _PREF_i,_PREF_u _A_virtuelan _N_okruženje,_A_virtuelan _N_okruženje,_ADJ_virtual_NOUN_environment,1,1
_A_elektronski _N_časopis a,_A_elektronski _N_časopis a,_A_elektronski _N_časopis,_ADJ_electronic_ADJ_periodical,1,1
_PREF_u _A_opšti _N_rezime,_A_opšti _N_rezime,_A_opšti _N_rezime,_ADJ_general_NOUN_summary,1,1
_PREF_za _A_visok _N_školstvo,_A_visok _N_školstvo,_A_visok _N_školstvo,_ADJ_higher_NOUN_education,0,1
_A_rečnički _N_pristup _PRO_ona,_A_rečnički _N_pristup,_A_rečnički _N_pristup,_ADJ_dictionary_NOUN_approach,1,1
_N_podatak _PREF_za _N_obučavanje,_N_podatak _PREF_za _N_obučavanje,_N_podatak _PREF_za _N_obučavanje,_NOUN_training_NOUN_data,1,1
_A_elektronski _N_usluga,_A_elektronski _N_usluga,_A_elektronski _N_usluga,_ADJ_electronic_NOUN_service,1,1
_A_dobijen _N_rezultat _PREF_i,_A_dobijen _N_rezultat _PREF_i,_A_dobijen _N_rezultat,_NOUN_recall,0,0
_A_povratan _N_informacija,_A_povratan _N_informacija _PREF_od,_A_povratan _N_informacija,_NOUN_feedback,0,1
_A_globalan _N_servis _PRO_koji,_A_globalan _N_servis _PRO_koji _V_hteti,_A_globalan _N_servis,_ADJ_global_NOUN_service,1,1
_PREF_i _N_veb _A_stran,_PREF_i _N_veb _A_stran,_A_stran _N_veb,_NOUN_web_NOUN_page,1,0
_A_ključan _N_udžbenik,_A_ključan _N_udžbenik,_A_ključan _N_udžbenik,_NOUN_textbook,0,0
_PREF_su _N_publikacija _N_knjiga,_N_publikacija _PREF_u _N_knjiga,_N_publikacija _PREF_u _N_knjiga,_NOUN_publication_ADP_in_NOUN_book,1,0
slang _N_for,slang _N_for,slang _N_for,_NOUN_slang,0,0
_A_digitalan _V_zapisati,_A_digitalan _N_zapis,_A_digitalan _N_zapis,_ADJ_digital_NOUN_recording,0,0
_A_korisnički _N_grupa,_A_korisnički _N_grupa,_A_korisnički _N_grupa,_NOUN_user_NOUN_group,1,1
_A_elektronski _N_format,_A_elektronski _N_format _PREF_u,_A_elektronski _N_format,_ADJ_electronic_NOUN_form,1,1
_PREF_i _A_digitalan _N_biblioteka _PREF_u,_A_digitalan _N_biblioteka ili,_N_biblioteka _A_digitalan _N_biblioteka,_ADJ_digital_NOUN_library,0,1
_N_servis _N_univerzitet _PREF_u,_N_servis _N_univerzitet _PREF_u,_N_servis _N_univerzitet,_NOUN_university_NOUN_service,1,1
_PREF_i _A_popularan _N_kultura,_PREF_i _A_popularan _N_kultura,_A_popularan _N_kultura,_ADJ_popular_NOUN_culture,1,1
_A_digitalan _N_izdanje,_A_digitalan _N_izdanje,_A_digitalan _N_izdanje,_ADJ_digital_NOUN_edition,1,1
_N_raznovrsnost _N_materijal _PRO_koji,_N_raznovrsnost _N_materijal _PRO_koji,_N_raznovrsnost _N_materijal,_NOUN_diversity_ADP_of_NOUN_material,1,1
_N_prevod _PREF_u _A_srpski _N_jezik,_N_prevod _PREF_u _A_srpski _N_jezik,_N_prevod _PREF_u _A_srpski _N_jezik,_NOUN_translation_ADP_in_ADJ_serbian,1,0
_A_sopstven _N_rešenje,_A_sopstven _N_rešenje,_A_sopstven _N_rešenje,_NOUN_solution,0,0
_A_engleski _N_termin,_A_engleski _N_termin,_A_engleski _N_termin,_ADJ_serbian_NOUN_wordnet,1,0
tei _N_element _PREF_na,tei _N_element,tei _N_element,_NOUN_tei_VERB_element,1,1
_N_korišćenje _A_elektronski _N_izvor,_N_korišćenje _A_elektronski _N_izvor,_N_korišćenje _A_elektronski _N_izvor,_NOUN_usage_ADP_of_ADJ_electronic_NOUN_resource,1,1
_N_protok _N_informacija,_N_protok _N_informacija _PRO_koji,_N_protok _N_informacija,_NOUN_information_VERB_flow,1,1
_A_kos _V_crtati _PREF_i,_A_kos _V_crtati,_A_kos _V_crtati,_NOUN_slash,0,1
_A_digitalan _N_repozitorijum,_PREF_u _A_digitalan _N_repozitorijum _PREF_i,_A_digitalan _N_repozitorijum,_ADJ_digital_NOUN_repository,1,1
_A_geografski _N_širina _PREF_i,_A_geografski _N_širina,_A_geografski _N_širina,_NOUN_latitude,0,1
_PREF_i _A_informacioni _N_pismenost,_A_informacioni _N_pismenost _PREF_od,_A_informacioni _N_pismenost,_NOUN_information_NOUN_literacy,1,1
_PREF_i _A_računarski _N_mreža,_PREF_i _A_računarski _N_mreža,_A_računarski _N_mreža,_NOUN_computer_NOUN_network,0,1
_A_leksički _N_jedinica,_A_leksički _N_jedinica,_A_leksički _N_jedinica,_ADJ_lexical_NOUN_item,1,1
_PREF_iz _A_naučni _N_biblioteka,_PREF_iz _A_naučni _N_biblioteka _PRO_koji _PREF_su _PREF_u _PRO_on,_A_naučni _N_biblioteka,_NOUN_research_NOUN_library,0,1
_A_javan _N_mnjenje _PREF_i,_A_javan _N_mnjenje,_A_javan _N_mnjenje,_ADJ_public_NOUN_opinion,1,1
_N_izvor _PREF_na _N_internet,_N_izvor _PREF_na _N_internet _PREF_i,_N_izvor _PREF_od _N_internet,_NOUN_internet_NOUN_resource,0,1
_A_tradicionalan _N_učenje,_A_tradicionalan _N_učenje,_A_tradicionalan _N_učenje,_ADJ_traditional_NOUN_learning,1,1
_A_pogodan _N_mogućnost,_A_pogodan _N_mogućnost,_A_pogodan _N_mogućnost,_NOUN_convenient_VERB_mean,1,0
_PREF_i _N_sadržaj _A_jezički _N_resurs,_PREF_i _N_sadržaj _A_jezički _N_resurs,_N_sadržaj _A_jezički _N_resurs,_NOUN_content,0,0
_PRO_koji _PRO_ona _A_socijalan _N_umrežavanje,_PRO_koji _PRO_ona _A_socijalan _N_umrežavanje _PREF_i,_A_socijalan _N_umrežavanje,_ADJ_social_NOUN_network,1,1
_N_biblioteka _N_fakultet _PREF_i,_PREF_u _N_biblioteka _N_fakultet,_N_biblioteka _N_fakultet,_NOUN_faculty_NOUN_library,0,1
_A_kulturan _N_nasleđe _PRO_ti,_A_kulturan _N_nasleđe,_A_kulturan _N_nasleđe,_ADJ_cultural_NOUN_heritage,1,1
_A_monografski _N_publikacija _PREF_u,_A_monografski _N_publikacija,_A_monografski _N_publikacija,_ADJ_monographic_NOUN_publication,0,1
_A_drugi _N_izdanje sa _N_cilj _V_dati _PRO_sebe,_A_drugi _N_izdanje sa _N_cilj _V_dati _PRO_sebe,_A_drugi _N_izdanje sa _N_cilj,_NOUN_identify,0,0
_PREF_i _N_zbornik sa _N_konferencija _PRO_sebe,_PREF_i _N_zbornik sa _N_konferencija,_N_zbornik _N_konferencija,_NOUN_conference_VERB_proceeding,0,1
_PREF_i _A_opisni metapodatke _PREF_su,_PREF_i _A_opisni metapodatke,_A_opisni metapodatke,_ADJ_descriptive_NOUN_metadata,1,1
_A_početan _N_slovo _PREF_i,_A_početan _N_slovo,_A_početan _N_slovo,_ADJ_initial_NOUN_letter,0,1
_A_mali _N_slovo,_A_mali _N_slovo,_A_mali _N_slovo,_ADJ_small_NOUN_letter,0,1
_N_biblioteka _PREF_u _A_ostali _N_organizacija,_N_biblioteka _PREF_u _A_ostali _N_organizacija,_N_biblioteka _PREF_u _A_ostali _N_organizacija,_NOUN_organization_ADP_of_NOUN_library,1,0
_N_usluga _PREF_za _A_krajnji _N_korisnik,_PRO_sav _N_usluga _PREF_za _A_krajnji _N_korisnik,_N_usluga _PREF_za _A_krajnji _N_korisnik,_NOUN_service_ADP_for_NOUN_end_NOUN_user,1,1
_N_poster _N_sesija,_N_poster _N_sesija _PREF_i,_N_poster _N_sesija,_NOUN_poster_NOUN_session,1,1
_A_računarski _N_aplikacija,_PREF_u _A_računarski _N_aplikacija,_A_računarski _N_aplikacija,_NOUN_application_ADP_of_NOUN_computer,1,0
_A_jezički _N_tehnologija sa _N_cilj,_A_jezički _N_tehnologija sa _N_cilj,_A_jezički _N_tehnologija sa _N_cilj,_NOUN_language_NOUN_technology,1,0
_N_razvoj _PREF_i _A_rad,_A_rad _PREF_i _N_razvoj,_A_rad _PREF_na _N_razvoj,_NOUN_work_ADP_on_NOUN_development,1,1
_N_institut _PREF_za _N_računarstvo,_N_institut _PREF_za _N_računarstvo,_N_institut _PREF_za _N_računarstvo,_NOUN_institute_ADP_of_NOUN_computer_NOUN_science,1,1
_N_reč _N_korpus _PRO_koji _PREF_su,_N_reč _PREF_iz _N_korpus,_N_reč _PREF_u _N_korpus,_NOUN_corpus_NOUN_word,1,0
_PRO_taj _N_pojam _PREF_na _A_dat,_N_pojam _PREF_na _A_dat,_A_dat _N_pojam,_ADJ_specific_NOUN_term,0,0
_A_humanistički _N_nauk _PREF_u _N_vek,_A_humanistički _N_nauk _PREF_u _N_vek,_A_humanistički _N_nauk _PREF_u _N_vek,_NUM_21st_NOUN_century,1,1
_A_ljudski _N_um,_PREF_u _A_ljudski _N_um,_A_ljudski _N_um,_NOUN_human_VERB_mind,1,1
ako _PRO_sebe _A_originalan _N_značenje,ako _PRO_sebe _A_originalan _N_značenje,_A_originalan _N_značenje,_ADJ_original_NOUN_meaning,1,1
_A_bibliografski _N_podatak _PREF_o _N_knjiga _PREF_i,_A_bibliografski _N_podatak _PREF_o _N_knjiga,_A_bibliografski _N_podatak _PREF_o _N_knjiga,_ADJ_bibliographic_NOUN_data,1,0
_A_referentan _N_korpus,_PREF_u _A_referentan _N_korpus,_A_referentan _N_korpus,_NOUN_reference_NOUN_corpus,1,0
_N_pretraga _PREF_i _N_upit,_N_pretraga _PREF_i _N_upit,_N_upit _PREF_za _N_pretraga,_NOUN_query,0,1
_PREF_i _A_aplikativni _N_softver,_A_aplikativni _N_softver,_A_aplikativni _N_softver,_NOUN_application_NOUN_software,1,1
_A_softverski _N_paket,_A_softverski _N_paket,_A_softverski _N_paket,_NOUN_software_NOUN_package,0,1
_N_otklanjanje _N_greška _PREF_i,_N_otklanjanje _N_greška,_N_otklanjanje _N_greška,_VERB_debugging,0,1
_A_morfološki _N_analiza _N_korišćenje,_A_morfološki _N_analiza _N_korišćenje,_A_morfološki _N_analiza _N_korišćenje,_ADJ_morphological_NOUN_analysis,1,0
_N_veb _PREF_u _N_biblioteka,_N_veb _N_biblioteka,_N_biblioteka _N_veb,_NOUN_web_ADP_into_ADJ_library,1,0
_N_baza _N_podatak _PREF_i _A_onlajn,_V_bazati _N_podatak _PREF_i _A_onlajn,_A_onlajn _V_bazati _N_podatak,_NOUN_online_NOUN_database,0,1
_A_nacionalan _N_muzej,_A_nacionalan _N_muzej _PREF_i _A_nacionalan,_A_nacionalan _N_muzej,_ADJ_national_NOUN_museum,1,1
_PREF_i _A_jezički _N_nasleđe,_A_jezički _N_nasleđe,_A_jezički _N_nasleđe,_ADJ_linguistic_NOUN_heritage,1,0
_A_naveden _N_definicija,_A_naveden _N_definicija,_A_naveden _N_definicija,_NOUN_definition,0,0
_A_informacioni _N_izvor,_A_informacioni _N_izvor,_A_informacioni _N_izvor,_NOUN_information_NOUN_resource,0,1
_A_drugi _N_aplikacija _A_zasnovan _PREF_na _V_obraditi _A_prirodan _N_jezik,_A_drugi _N_aplikacija _A_zasnovan _PREF_na _N_obrada _A_prirodan _N_jezik,_A_drugi _N_aplikacija _A_zasnovan _PREF_na _N_obrada _A_prirodan _N_jezik,_ADJ_natural_NOUN_language_NOUN_processing_NOUN_task,1,0
_N_kvalitet _N_obrazovanje,_N_kvalitet _N_obrazovanje,_N_kvalitet _N_obrazovanje,_NOUN_education_NOUN_quality,1,1
_N_kopija _N_tekst,_N_kopija _N_tekst,_N_kopija _N_tekst,_NOUN_copy,0,0
_A_specijalan _N_biblioteka _PREF_u _N_organizacija _PRO_koji,_A_specijalan _N_biblioteka _PREF_u _N_organizacija,_A_specijalan _N_biblioteka _PREF_u _N_organizacija,_ADJ_special_NOUN_library_ADP_within_NOUN_organization,1,1
_A_anoniman _A_autorski _N_deo _PRO_ti,_A_anoniman _A_autorski _N_deo,_A_anoniman _A_autorski _N_deo,_ADJ_anonymous_NOUN_work,0,0
_A_elektronski _N_rečnik već,_A_elektronski _N_rečnik već,_A_elektronski _N_rečnik,_ADJ_dictionary,0,0
_PREF_iz _A_tuđ _N_interpretacija,_PREF_iz _A_tuđ _N_interpretacija _PREF_i,_A_tuđ _N_interpretacija,_NOUN_interpretation,0,0
_PRO_ona _N_oblik _N_množina _PREF_za,_V_dati _PRO_ona _N_oblik _N_množina _PREF_za,_N_oblik _N_množina,_ADJ_plural_NOUN_form,1,1
_PREF_i _A_funkcionalan _N_ala,_PREF_i _A_funkcionalan _N_ala _PREF_i,_A_funkcionalan _N_ala,_ADJ_functional,0,0
_A_raden _N_mesto _PREF_u,_A_raden _N_mesto _PREF_u,_A_raden _N_mesto,_NOUN_job,0,0
_A_multimedijalan _N_dokument _PRO_ona,_A_multimedijalan _N_dokument _PREF_i,_A_multimedijalan _N_dokument,_NOUN_multimedia_VERB_document,1,0
_N_biblioteka _N_muzej,_V_jesam _N_biblioteka _N_muzej,_N_biblioteka _N_muzej,_NOUN_museum_NOUN_library,0,1
_PRO_koji _A_geološki _N_rečnik,_A_geološki _N_rečnik,_A_geološki _N_rečnik,_NOUN_geologic_NOUN_vocabulary,1,1
